ref,Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL001_14_87_B.raw (F17),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL002_18_92_B.raw (F18),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL003_30_96_A.raw (F19),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL004_47_67_A.raw (F20),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL005_51_60_D.raw (F21),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL006_68_2017_F.raw (F22),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL007_69_79_A.raw (F23),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL008_75_67_B.raw (F24),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL009_76_67_A.raw (F25),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL010_80_2018_A.raw (F26),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL011_95_81_D.raw (F27),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL012_101_81_A.raw (F28),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL013_108_2015_B.raw (F29),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL014_109_79_A.raw (F30),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL015_124_99_B.raw (F31),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL016_148_84_A.raw (F32),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL017_173_83_A.raw (F33),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL018_206_2004_A.raw (F34),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL019_219_2000_A.raw (F35),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL020_220_2000_B.raw (F36),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL021_227_2006_B.raw (F37),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL022_229_98_B.raw (F38),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL023_240_96_A.raw (F39),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL024_241_2017_D.raw (F40),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL025_249_96_B.raw (F41),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL026_250_89_A.raw (F42),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL027_251_2013_C.raw (F43),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL028_255_2001_B.raw (F44),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL029_259_2000_A.raw (F45),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL030_280_2015_A.raw (F46),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL031_292_2011_A.raw (F47),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL032_293_2003_C.raw (F48),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL033_299_78_B.raw (F49),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL034_301_86_A.raw (F50),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL035_312_2018_C.raw (F51),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL036_327_2022_MASS.raw (F52),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL037_338_92_B.raw (F53),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL038_340_2014_D.raw (F54),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL039_341_81_MASS.raw (F55),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL040_347_92_B.raw (F56),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL041_351_95_B.raw (F57),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL042_352_78_C.raw (F58),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL043_355_92_B.raw (F59),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL044_359_92_C.raw (F60),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL045_360_92_G.raw (F61),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL046_363_92_C.raw (F62),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL047_368_95_C.raw (F63),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL048_370_92_A.raw (F64),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL049_373_2001_A.raw (F65),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL050_375_97_A.raw (F66),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL051_379_97_A.raw (F67),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL052_381_83_A.raw (F68),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL053_386_81_D.raw (F69),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL054_392_2018_A.raw (F70),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL055_392_92_A.raw (F71),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL056_393_2004_B.raw (F72),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL057_393_96_A.raw (F73),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL058_395_65_A.raw (F74),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL059_398_62_D.raw (F75),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL060_412_2018_D.raw (F76),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL061_419_2008_A.raw (F77),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL062_438_2011_B.raw (F78),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL063_449_87_C.raw (F79),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL064_453_87_B.raw (F80),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL065_486_95_A.raw (F81),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL066_488_94_C.raw (F82),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL067_507_93_B.raw (F83),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL068_512_83_D.raw (F84),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL069_534_2002_MASS.raw (F85),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL070_538_78_A.raw (F86),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL071_543_49_B.raw (F87),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL072_543_93_A.raw (F88),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL073_584_2008_B.raw (F89),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL074_627_2016_A.raw (F90),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL075_648_89_A.raw (F91),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL076_650_2010_A.raw (F92),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL077_679_87_A.raw (F93),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL078_683_75_A.raw (F94),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL079_694_83_A.raw (F95),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL080_694_88_B.raw (F96),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL081_695_88_B.raw (F97),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL082_701_89_B.raw (F98),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL083_708_37_A.raw (F99),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL084_742_90_A.raw (F100),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL085_759_2016_D.raw (F101),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL086_772_94_B.raw (F102),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL087_787_82_MASS.raw (F103),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL088_791_82_A.raw (F104),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL089_796_85_A.raw (F105),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL090_798_65_A.raw (F106),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL091_806_84_A.raw (F107),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL092_815_84_A.raw (F108),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL093_856_84_A.raw (F109),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL094_877_80_A.raw (F110),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL095_906_87_A.raw (F111),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL096_911_79_MASS.raw (F112),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL097_933_4_A.raw (F113),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL098_937_50_A.raw (F114),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL099_939_73_B.raw (F115),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL100_950_83_A.raw (F116),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL101_973_81_A.raw (F117),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL102_975_83_B.raw (F118),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL103_978_83_A.raw (F119),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL104_1040_90_C.raw (F120),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL105_1089_81_B.raw (F121),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL106_1237_51_A.raw (F122),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL107_1294_83_A.raw (F123),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL108_1310_84_B.raw (F124),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL109_1387_82_C.raw (F125),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL110_1449_77_A.raw (F126),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL111_1453_77_MASS.raw (F127),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL112_1481_23_A.raw (F128),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL113_1518_83_B.raw (F129),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL114_1652_77_F.raw (F130),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL115_1706_80_A.raw (F131),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL116_1723_80_B.raw (F132),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL117_1797_77_C.raw (F133),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL118_1804_77_C.raw (F134),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL119_1838_80_D.raw (F135),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL120_1903_80_B.raw (F136),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL121_2025_1_A.raw (F137),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL122_2025_2_A.raw (F138),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL123_2025_3_A.raw (F139),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL124_2025_4_A.raw (F140),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL125_2025_5_A.raw (F141),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL126_3025_A.raw (F142),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL127_7178_C.raw (F143),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL128_7533_B.raw (F144),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL129_11822_A.raw (F145),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL130_15118_3_A.raw (F146),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL131_17988_B.raw (F147),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL132_18294_A.raw (F148),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL133_19571_E.raw (F149),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL134_20187_C.raw (F150),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL135_21064_B.raw (F151),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL136_22144_G.raw (F152),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL137_22677_A.raw (F153),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL138_2026_7_A.raw (F154),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL139_2025_6_A.raw (F155),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL140_153_2024_A.raw (F156),Gap Fill Status: SUB15963_KC18_H2OvsACNFA_SPL141_26_81_A.raw (F157)
638.30226@18.47,8192,32,32,32,32,8,32,8192,8192,8,8192,8192,8,32,8192,4096,8192,32,32,32,,8192,8192,32,8192,8192,8192,8192,32,32,,32,32,32,32,32,32,8192,8192,32,128,32,128,8192,8,8192,32,4096,32,32,32,32,32,32,32,8192,32,8192,,32,32,32,8,8192,32,32,32,32,8192,4096,,32,8192,32,32,,32,32,32,32,8192,8,32,8192,8192,,,8192,32,8192,,128,,8192,4096,8192,8192,8192,8,,8192,8192,8192,8192,32,,32,32,8192,32,8192,8192,8192,32,,32,8192,8192,32,8192,8192,8192,,32,,8192,32,8192,32,,,8,8,8192,32,32,8192,8192,32,8192,32
341.16341@14.41,8192,8192,8192,32,32,32,32,,,32,8192,32,8,32,32,8192,8,8192,8192,32,,4096,32,32,,32,32,32,8192,32,32,,,8192,8192,,8192,8192,8,8192,8,32,8,8,8,8,32,8,,8192,32,8192,32,,8192,8192,32,32,8,32,8192,,8,,8192,128,8192,8,,8,32,,,32,8192,32,32,32,32,8192,,8192,32,8192,,8,,8,8192,8192,8192,8192,8192,,8,8192,32,32,8,8,32,8192,8,8,32,,32,32,8192,8,8,8192,8192,32,,32,8192,32,,32,32,8,32,32,,32,8192,32,32,32,8192,,8,8192,8192,32,8192,,32,8192,8
341.16346@13.82,8192,8192,,32,,,32,128,128,,8192,,,,,,,8192,8192,,128,4096,32,,128,,32,,8192,,,128,8,8192,8192,,8192,8192,,8192,,,,,,,32,,128,8192,,8192,,128,8192,8192,,,,,8192,128,,128,8192,,8192,,128,,,8,128,,8192,,,,32,8192,8,,,8192,128,,,,8192,8192,8192,,8192,128,,8192,,32,,,,,,,,128,,,,,,8192,8192,,8,,8192,,128,,8192,,,,128,,,,,,,,,8192,8192,,8192,128,,,8
355.17917@20.24,32,8192,,32,,,,32,8192,8192,8192,8192,,32,8192,,,32,,,8192,8192,8192,8192,8192,32,,32,32,,,32,32,,32,,,8192,,,,8192,,,,,32,,32,8,,32,,32,,,8192,,,32,32,8192,,,,,32,32,,,,32,,8192,32,8192,8192,,32,8192,8192,,32,,32,,,,32,,,,,,,8192,32,32,32,,32,,,,8,,8192,8192,,,,,,32,,8192,32,,,32,32,,8192,8192,,8192,,,,,8192,,,,32,32,,,32,,32
353.12719@22.73,,,,8192,8192,,,,,,,,,,,,,32,8192,,,,,,,,8192,,,,,,,,,,,,8,,,,,,,,8192,,,8192,,,8192,,,128,,,,32,,,8,,,,,,,,,,8,,,,,,,,,,,,,,128,8,,,,,8192,,,8192,,8192,8,128,,8,,8,,,,,,128,8,,,,,,,,,,,,,,,,8,,,,,8192,8192,,8192,,,,,,
355.17918@19.28,32,8192,32,32,32,8,8192,32,8192,8192,8192,8192,32,32,8192,8,32,32,8,32,8192,8192,8192,32,8192,32,32,32,32,32,32,32,32,8,32,32,32,32,32,32,32,32,128,8,8,32,32,32,32,32,32,32,32,32,32,32,8192,32,8192,32,32,8192,,8,8192,8,32,32,8192,8,32,32,8192,32,32,8192,8192,32,32,8192,8192,8,32,8192,32,8192,128,,32,32,128,32,32,8192,8,8192,32,32,8,8,32,8,8,,32,32,8192,8192,32,8,8,32,32,32,32,8192,32,32,32,32,32,32,8192,8192,32,32,8,32,32,32,8192,8,32,32,32,32,8,32,32,32,32
313.16838@15.47,32,32,,32,32,8192,32,8,8192,,32,32,8192,8192,32,,,32,32,32,8192,8192,32,8192,8192,8192,32,32,32,32,8192,32,32,32,32,,32,8192,,32,8192,8192,,,,,32,,,32,8192,32,32,32,32,32,32,8192,,32,32,32,,128,32,,,8192,32,,128,32,32,32,32,8192,32,8192,8192,32,32,,32,32,8192,,128,,8192,32,32,32,32,8192,,32,32,32,,,32,,,,8192,,8192,32,32,,,8192,32,32,8192,32,32,8,32,32,32,8,8192,8192,,8192,,8192,32,32,8192,8192,8192,8192,32,8192,32,8192,32,8,8192
351.25301@23.17,32,,8192,32,32,32,32,,8,32,32,32,32,32,32,32,32,32,32,8192,32,8192,32,32,,32,,,32,32,,8192,32,32,8192,32,8192,32,32,,8192,32,8,32,,32,32,32,32,32,8192,32,32,32,32,,32,,8192,32,32,32,32,32,32,8192,8192,32,32,32,8192,32,32,,,32,,32,32,32,8192,32,,,32,32,32,32,32,32,8192,32,32,32,32,32,32,,32,32,8192,32,32,32,,8192,32,8192,32,32,8192,32,8192,4096,8192,32,32,32,32,8192,32,8192,,8192,,8192,32,32,32,,32,32,32,8192,8192,32,,32,32,32,32
640.317@17.75,32,32,32,32,32,32,32,32,32,,8192,32,32,32,32,32,32,32,32,32,,32,32,32,,32,32,32,32,32,,32,32,32,32,8192,32,32,32,32,8192,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,32,32,32,8192,32,8192,32,32,32,32,32,,32,32,32,32,8192,32,32,32,32,32,32,32,32,32,32,,32,32,32,8192,8192,32,8192,32,32,32,32,,,32,32,32,32,32,8192,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,32,8,32,32,32,32,,8192,,,32,32,32,32,32,32,32,32
622.30734@20.18,32,32,,32,,32,32,32,32,8192,32,32,32,32,32,,,32,32,32,32,32,128,32,,8192,32,32,32,32,32,32,32,32,32,,8192,32,32,32,8192,32,,8192,,,32,,8192,32,,32,32,32,8192,32,32,,32,32,,32,,32,32,,32,32,8192,,32,32,32,8192,32,32,8192,,,8192,32,,32,32,32,32,,,32,32,,,32,32,,32,32,32,,,32,,,,32,32,32,8,32,,,,32,32,8192,32,32,32,8192,32,32,8192,,8192,,8192,32,32,,32,32,32,8192,32,32,8192,32,,32,8192,32
162.03192@12.36,,,,,,,,,,8192,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,8,,,,,,,128,8,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,8,,8,,,8,,,,8192,,,,8,,8192,,,,,,,,,,,8,8192,,,8192,
264.24587@43.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.07401@1.69,8192,8192,,,,,,8192,,8192,,,8192,,8192,,,8,8,8,8192,,8192,8192,,,,8192,,,8192,8192,8192,8,8192,,,,,8192,8192,8192,,,,,8192,,,8192,8192,8192,,,8192,8192,8192,8192,,8192,8192,8192,,8192,8192,,,8192,,,,8192,8192,,,8192,,,8192,,8192,,8192,,8192,8192,,,,8192,8192,8192,8192,,,,8192,,8192,,8192,,,,8192,8192,,8192,,,,8192,,8192,,8192,8192,8192,,8192,8192,,8192,,,,,,8192,8192,8192,8192,,,8192,,8,,,8192,
325.23716@14.13,32,32,32,32,32,32,32,32,,32,32,8192,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,32,32,32,,32,32,,32,32,32,8192,32,32,8192,32,32,32,32,32,32,32,32,32,32,32,32,32,32,8,32,,32,32,32,32,32,32,32,32,8192,32,32,32,32,32,32,32,,32,32,32,32,32,32,32,32,,32,32,32,32,32,8192,32,8192,8192,8192,32,32,32,,32,32,32,32,32,32,32,8192,32,32,32,32,32,32,8192,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,8192,32,32,32,32,32,32,32,32,32,32,32,32
194.05829@16.27,,,,,8192,8192,,,,,,,,,,8192,,,,,,,,,,,8192,,,,,,,128,,,,,,,,8192,,,,,,,,,,,,,,,,8192,,8192,,,,,,,8192,,,,,,,,,,,,,,,,,,,,8192,,,8192,,,,,8,,8192,,,,,8192,,,,,,,,,,,8192,,8192,,,,,,8192,,,,,,,,,,,,,,,,,,,,8192
626.30105@16.82,32,32,32,4096,32,32,32,32,32,,8192,8192,32,32,32,32,128,32,32,32,8,32,32,32,,32,4096,8192,32,32,,32,32,32,32,8192,32,8192,8192,32,8192,32,,,8192,,32,128,32,32,32,32,32,8192,32,32,32,32,,4096,32,32,,32,8192,32,32,32,8192,8192,4096,32,8,32,32,,32,4096,32,32,32,8192,32,32,8192,32,,32,32,32,,32,8192,8192,4096,32,32,32,,,32,32,4096,,32,,32,32,8,32,32,128,32,32,8,32,32,32,32,8192,32,32,,32,,32,32,32,32,8192,8192,,,32,32,32,32,32,32,32,8192
452.15171@15.34,,,,,,,,,,,,,,,,,8192,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,,,8192,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,,,,,,,8192,,,,8192,,,,,,,,,,,,,,,,,,,,
134.02116@1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.09581@12.35,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,8,,8,,,,8,,,,,,,,,8,,,,,,,,,,,,,,8,,,,,,,,8192,,,,,,,8,,,,,,8192,,,,,,,8192,,,,,,,,,,,,,,8192,
354.09376@12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,8192,,,8,,8,,,,,,8192,,,128,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.07912@1.69,8192,8192,,,,8192,,,,,8192,,,8192,8192,,,,8192,8192,,8192,8192,8192,8192,,,,,8192,,8192,,,,,8192,,,8192,,8192,,,,,,,,,8192,8192,,,,,,,8192,8192,8192,,,,8192,,,,,,,,8192,8192,,,,,,8192,8192,,8192,,,,,,,8192,8192,,8192,,,,8192,,,,8192,,,,,,,8192,8192,,,,,8192,,8192,8192,8192,,8192,8192,,,,,,,,8192,,8192,8192,,,8192,8192,,,8192,,
196.07385@21.53,,8192,8192,128,8192,,8192,8192,128,8,8192,8,8192,8192,8,8,8,128,,,,8,,8192,,8192,8,,8192,8192,8192,8192,,8,,8192,,8192,8192,,8,128,128,8192,8192,8192,8192,8192,8192,8,,8,,,,8192,8192,8192,,,,,8,8,,8192,8,,8192,8192,8192,,8192,8,8,8192,8192,8192,,8192,,8192,8192,,128,8,8192,8192,8,128,8192,,,8192,128,,8,8,8192,8192,,8,8192,8192,8192,8192,8,8192,8192,8,8,8,8192,128,8192,,8192,,8192,8192,,8,8192,8,8192,8192,8192,128,,,,128,8,128,,128,8192,8,,8192,8
162.03194@6.53,,8,,,,,8,,8,8,,,8,8,,,8,,8,,8,8,8,8,8,8,8,,8,,8192,,8,8,,8,8,8,8,8,8,8,8,8,8,8,,128,,,8,8,8192,128,,8,8,8,,8192,8,8,8,8,,128,8,,8,128,8,,,,8,,8,,8,,,,8,8,,8,8,8,8,8,,,8,8,8,8,8192,8,,8,8,,8,8,8,8,,8,8,8,8,8,8,8,,,8,,8,,8,8,8,8,128,,,8,,8,,8,,8,,8,,8,,8192,
192.06268@1.73,,8192,8,,,8192,,,8,8192,,8192,8192,8192,,8200,8,,,,8,,,,,,,,,,,,,,8,,,,8192,,,8192,128,8200,136,8,8,160,,,,,,,,8,,8192,,,,,8200,8,,8,128,,8192,8,8,,8192,8,8192,,,,,,,128,,8192,8,,,128,,,128,,,136,8200,,,128,8,8192,,8200,8192,128,,,,,,8,128,128,8,,128,,,,,,,,8,8,,128,8,,,,,,,,,,,8,,,
342.11111@24.72,8,,8192,8,,,,8192,,32,8192,,8,,8192,,,8192,8,8192,8,8192,8192,8,8,128,,,8,8192,8192,4096,8192,8192,,,8,,8192,8192,8192,,,,,,8192,,8192,8192,,8192,,8,8192,8192,8192,8192,,,8192,,,,4096,,,,32,,8,8192,4096,8192,8192,8192,8192,8,,8192,,,,8192,8192,,,,8,8192,8192,8192,8192,8192,,,8192,8192,8192,8192,8192,8192,,8192,8192,8,8192,8192,,,8192,,8192,8192,8192,8192,8192,,,,,8192,,32,32,8192,8192,8192,8192,,,8192,,8192,,8192,4096,,8192,8192,8
162.03195@8.46,8,,,8,8,8,,8,,,8,8,,,,8,,8,,8,,8,,,,,8,8,,8,,8,,,8,,,,,,8,,8192,128,,,8,128,8,8,,,,,8,8,,8,8,8192,,,128,8,8,128,8,8,8,128,8,8,8,,8,8,,8,,8,8,,,8,8192,,,8,,,8,8,,8192,,,8,8,8,,,8,,8192,8,8,8,,,,,8,8,8,128,8,,,8,8,,,8,8,128,8,8,,8,,8,,,,8,8,,128,8,8192,8
488.18816@19.56,8192,,,,,8192,,8192,,,,,8192,,,,8192,,,,,,,,8192,8192,,,,8192,,,8192,,,8,,8192,8192,,,,,32,,,,8192,128,,,,,8192,,,,,,,,,,,8192,,,,8192,8192,,,,8192,,,,,,,,8192,,,,,,8192,,,,,8192,,8,,,,,8192,,8192,,8192,8192,,,8192,,8,8,,,8192,8192,8,,,,,,,,,,,,,,,,8192,8192,,8192,8192,,,8192,,
354.09377@8.47,8,,,8,8,8,,8,,8,8,8,,,,,,8,,8,,8,8,,,,8192,8,,128,,8,,,8,,,,,,8192,,8,,,,8,,8,8,,,,,8,8192,,8,8,8,,,,8192,8,8,8192,8,8192,8,8,8,8,,8192,8,,8,,8,8,,,8,8,,,,,,8,8,,,,,,8,8,,,8,,,8,,8,8,,,,8,8,8,8,8,8,,8192,8,,,,,,8192,8,,8,,8,,,,128,8,,,8,,8
337.13217@20.32,8192,8192,,32,8192,,8,,32,8192,8192,8192,,8192,,8,,32,32,,8,8192,32,8192,32,,32,,32,32,,32,32,8192,,,32,8192,,4096,8192,8192,,,,,32,,8192,32,8,32,8192,,32,,8192,8192,8192,32,32,32,8,32,32,,,,8192,,,,32,,32,,8192,,,32,8192,,8,32,8192,,,,32,32,,8192,8192,8192,,32,,32,,,8192,8192,,,,8192,4096,,8,,,8192,8192,8192,32,,8192,8192,8192,8192,32,,,32,,32,,,8,,8,32,32,8192,32,8192,4096,8,,8192,
341.1635@16.71,32,32,,8192,,8192,32,8192,8192,,32,8192,8,8192,8192,,,8,32,32,,8192,32,8192,,8192,32,32,32,32,,32,32,8192,32,,32,,8,32,8192,8192,,8,,,32,8192,32,32,,32,8192,32,32,8192,8192,,,32,32,32,,,8192,,32,32,,,8192,32,32,8192,32,8192,8192,,32,32,32,,32,32,32,8,8,,8192,32,8192,8192,8192,,,32,8192,32,8192,,32,,,,8192,,8192,8192,8192,,8,,8,32,8192,8192,,,,32,32,8192,8192,8192,8192,,,,8192,,,8,8,8192,32,32,8192,8192,32,,8192
